property_phys_chem_id,property_phys_chem_label,property_phys_chem_url,property_phys_chem_r_label
91,pHH2O_ratio1-2.5,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,ph
203,EC_ratio1_5,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,ec
228,OrgC_wc_cro3_walkleyblack,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,soc
6,TotalN_kjeldahl-nh4,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,tn
278,Extr_ap21,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,ap
314,ExchBases_ph7-nh4oac-K,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,k
315,ExchBases_ph7-nh4oac-Ca,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,ca
316,ExchBases_ph7-nh4oac-Mg,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,mg
317,ExchBases_ph7-nh4oac-Na,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,na
311,SaSiCl_2-50-2000u-disp-clay,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,clay
312,SaSiCl_2-50-2000u-disp-silt,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,silt
313,SaSiCl_2-50-2000u-disp-sand,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,sand
123,CEC_ph7-nh4oac,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,cec
115,BlkDensW_we-co-unk,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,bd
318,AggStab-sieve,https://repository.cimmyt.org/bitstream/handle/10883/3389/98401.pdf?sequence=1&isAllowed=y,agg
299,Extr_m3-Fe,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,fe
300,Extr_m3-Cu,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,cu
301,Extr_m3-Zn,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,zn
302,Extr_m3-Mn,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,mn
303,Extr_m3-B,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,b
304,Extr_m3-As,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,as
305,Extr_m3-Pb,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,pb
306,Extr_m3-Al,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,al
307,Extr_m3-Cd,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,cd
308,Extr_m3-Cr,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,cr
309,Extr_m3-Co,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,co
310,Extr_m3-Ni,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv,ni
